web-scraper-order,bank,donor-num,donor-link-href,description,look-alikes,price,race,race-self-described,ethnicity,degree,occupation,weight,height,eye,eye-color-original,hair,hair-color-original,hair-texture,skintone,skin-tone-original,bloodType,donation-age,sign,fave-subjects,jewish,religion,religion-original,goals,pet,describes-himself,hobbies,dominant-hand,hairy-chest,generally-hairy,ear-lobes,beard-color,eyebrows,dimples,acne,acne-info,shoe-size,body-build,face-shape,lips,nose-shape,long-eyelashes,hair-loss,why-donate
1583261093-230,Euro,Rio,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Rio has brown eyes and light brown hair. He is 177cm in height and weighs 74kg.
He works as a industrial phd. In his free time he enjoys playing football (European), basketball and badminton. Rio describes himself as very social and enjoys hanging out with his friends and family.
He wants to be a donor because he wants to help people achieve their dream of having a child.",,,White,White,Danish/Danish,Natural Science,industrial phd,163,70,Brown,Brown,Brown,"Brown, Light",,3,Medium,O+,,,,no,Not Listed,,,,,"playing football (European), basketball and badminton",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people achieve their dream of having a child
1583261093-300,Euro,Serif,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Serif has brown eyes and black hair. He is 167cm in height and weighs 73kg.
He works as a owner of a beautysalon and suncenter. In his free time he enjoys swimming and Woo Shoo. Serif describes himself as happy, helpful, caring, giving, and loving.
He wants to be a donor because to help others experience the most wonderful joy of life of having children.",,,White,White,Iranian/Iranian,Business and financial,owner of a beautysalon and suncenter,161,66,Brown,Brown,Black,Black,,3,Medium,B+,,,,no,Not Listed,,,,,swimming and Woo Shoo,right,,,,,,,,,,,,,,,,He wants to be a donor because to help others experience the most wonderful joy of life of having children
1583261093-347,Euro,Dane,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Dane has green/brown eyes and brown hair. He is 192cm in height and weighs 94kg.
He works as a pedagogue helper, with disabled people. In his free time he enjoys all types of sport. Dane describes himself as sympathetic, understanding, temper at times, loving, loyal.
He wants to be a donor because he wants to help people across the world.",,,White,White,Danish/Danish,High School student,"pedagogue helper, with disabled people",207,76,Green,Green/Brown,Brown,Brown,,3,Medium,O+,,,,no,Not Listed,,,,,all types of sport,left,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people across the world
1583261093-45,Euro,Lucca,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Lucca has blue eyes and blond hair. He is 177cm in height and weighs 71kg.
He works as a working on the floor at local grocary store.. In his free time he enjoys running, swimming, weight lifting, socializing and history. Lucca describes himself as outgoing and optimistic.
He wants to be a donor because he wants to help people to have children.",,,White,White,Danish/Danish,"Life, Physical and Social Science",working on the floor at local grocary store,157,70,Blue,Blue,Blonde,Blonde,,3,Medium,A+,,,,no,Not Listed,,,,,"running, swimming, weight lifting, socializing and history",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people to have children
1583261093-279,Euro,Garon,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Garon has brown eyes and brown hair. He is 186cm in height and weighs 63kg.
He works as a studying political science. In his free time he enjoys soccer, music and philosophy. Garon describes himself as extrovert, talkative, creative, focused, stubborn and honest.
He wants to be a donor because he wants to help other people.",,,White,White,Danish/Danish,"Life, Physical and Social Science",studying political science,139,73,Brown,Brown,Brown,Brown,,3,Medium,A+,,,,no,Not Listed,,,,,"soccer, music and philosophy",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help other people
1583261093-136,Euro,Eldin,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Eldin has blue/green eyes and light brown hair. He is 170cm in height and weighs 57kg.
He works as a volunteer work. In his free time he enjoys sport, music, social work, bikes, sailing and juggling. Eldin describes himself as carefull, respectfull and gratefull.
He wants to be a donor because the strongest argument to help parents, has made him quite sure that it is a good idea.",,,White,White,Danish/Danish,Entertainment and sports,volunteer work,126,67,Blue,Blue/Green,Brown,"Brown, Light",,3,Medium,A+,,,,no,Not Listed,,,,,"sport, music, social work, bikes, sailing and juggling",right,,,,,,,,,,,,,,,,"He wants to be a donor because the strongest argument to help parents, has made him quite sure that it is a good idea"
1583261093-445,Euro,Gene,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Gene has green/brown eyes and brown hair. He is 180cm in height and weighs 80kg.
In his free time he enjoys jogging, reading, writing and building on his knowledge. Gene describes himself as kind and calm.
He wants to be a donor because he believes it to be a good cause.",,,White,White,Danish/English/Russian,"Life, Physical and Social Science",,176,71,Green,Green/Brown,Brown,Brown,,3,Medium,O+,,,,no,Not Listed,,,,,"jogging, reading, writing and building on his knowledge",right,,,,,,,,,,,,,,,,He wants to be a donor because he believes it to be a good cause
1583261093-395,Euro,Petrus,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Petrus has brown eyes and brown hair. He is 179cm in height and weighs 80kg.
In his free time he enjoys football. He also enjoys rap and house music.. Petrus describes himself as all around happy. He likes to make people laugh and make them feel happy.
He wants to be a donor because he wants to help other people. He is also a blood donor.",,,White,White,Danish/Danish,High School student,,176,70,Brown,Brown,Brown,Brown,,2,Fair,AB+,,,,no,Not Listed,,,,,football. He also enjoys rap and house music.,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help other people. He is also a blood donor
1583261093-57,Euro,Eske,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Eske has brown eyes and brown hair. He is 189cm in height and weighs 79kg.
He works as a sales assistant. In his free time he enjoys team sports. Eske describes himself as funny, outgoing, easy going, innovative, creative, adventurous, friendly, practical, fast learner.
He wants to be a donor because he likes to help other people.",,,White,White,Danish/Danish,High School student,sales assistant,174,74,Brown,Brown,Brown,Brown,,3,Medium,A+,,,,no,Not Listed,,,,,team sports,right,,,,,,,,,,,,,,,,He wants to be a donor because he likes to help other people
1583261093-150,Euro,Kolja,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Kolja has blue eyes and light brown hair. He is 175cm in height and weighs 76kg.
He works as a team leader. In his free time he enjoys cycling and he has a big interest in coffee, wine and Italian food. Kolja describes himself as smiling, mentally strong, honest and loyal.
He wants to be a donor because he knows how hard it can be not to be able to have children.",,,White,White,Danish/Danish,Production,team leader,168,69,Blue,Blue,Brown,"Brown, Light",,3,Medium,A+,,,,no,Not Listed,,,,,"cycling and he has a big interest in coffee, wine and Italian food",right,,,,,,,,,,,,,,,,He wants to be a donor because he knows how hard it can be not to be able to have children
1583261093-12,Euro,Dejan,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Dejan has brown eyes and black hair. He is 168cm in height and weighs 60kg.
He works as a tax administrator. In his free time he enjoys football and cricket. Dejan describes himself as I write poems. I love to read books and travelling is also one of my hobby.
He wants to be a donor because he wants to help childless people.",,,Asian,Asian,Nepalese/Nepalese,Business and financial,tax administrator,132,66,Brown,Brown,Black,Black,,3,Medium,O-,,,,no,Not Listed,,,,,football and cricket,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help childless people
1583261093-129,Euro,Rino,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Rino has blue eyes and red hair. He is 181cm in height and weighs 70kg.
In his free time he enjoys reading, writing, composing music and working out. Rino describes himself as quiet, creative and a good listener.
He wants to be a donor because it feels charitable.",,,White,White,Danish/Danish,"Life, Physical and Social Science",,154,71,Blue,Blue,Red,Red,,2,Fair,A+,,,,no,Not Listed,,,,,"reading, writing, composing music and working out",right,,,,,,,,,,,,,,,,He wants to be a donor because it feels charitable
1583261093-52,Euro,Kento,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Kento has blue/green eyes and dark brown hair. He is 178cm in height and weighs 106kg.
He works as a dispatcher. In his free time he enjoys soccer, fishing and travelling. Kento describes himself as calm, caring and optimistic.
He wants to be a donor because he wants to help people.",,,White,White,Danish/Danish,Transportation and shipping,dispatcher,234,70,Blue,Blue/Green,Brown,"Brown, Dark",,3,Medium,B+,,,,no,Not Listed,,,,,"soccer, fishing and travelling",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people
1583261093-407,Euro,Jos,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Jos has blue eyes and blond hair. He is 182 cm in height and weighs 88 kg.
He works as a gap year - working in cafe and kitchen. In his free time he enjoys fitness, swimming, reading and stock trading. Jos describes himself as fun, straightforward and honest.
He wants to be a donor because he wants to pass on his genes and help people.",,,White,White,Danish/Danish/Swedish,High School student,gap year - working in cafe and kitchen,194,72,Blue,Blue,Blonde,Blonde,,2,Fair,O+,,,,no,Not Listed,,,,,"fitness, swimming, reading and stock trading",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to pass on his genes and help people
1583261093-271,Euro,Zeus,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Zeus has green eyes and dark brown hair. He is 180cm in height and weighs 83kg.
He works as a audio engineer. In his free time he enjoys Football and basketball.. Zeus describes himself as Action oriented, outgoing, expressive, hands-on, imaginative, future oriented, conceptual, abstract, empathetic, accepting, warm, values harmony, spontaneous, flexible, open minded, adventurous..
He wants to be a donor because He wants to help people in any way he is able to..",,,White,White,Greek/Greek,Architecture and engineering,audio engineer,183,71,Green,Green,Brown,"Brown, Dark",,3,Medium,O+,,,,no,Not Listed,,,,,Football and basketball,right,,,,,,,,,,,,,,,,He wants to be a donor because He wants to help people in any way he is able to
1583261093-90,Euro,Bryne,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Bryne has green/brown eyes and blond hair. He is 195cm in height and weighs 81kg.
He works as a helper at a carshop. In his free time he enjoys travelling, hiking with friends, surfing, snowboarding and video games. Bryne describes himself as calm, easy going, emotional, quiet and friendly.
He wants to be a donor because he wants to help people.",,,White,White,Danish/Danish,Architecture and engineering,helper at a carshop,179,77,Green,Green/Brown,Blonde,Blonde,,3,Medium,O+,,,,no,Not Listed,,,,,"travelling, hiking with friends, surfing, snowboarding and video games",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people
1583261093-311,Euro,Luvin,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Luvin has blue eyes and blond hair. He is 187cm in height and weighs 74kg.
He works as a volunteer coordinator. In his free time he enjoys fencing and running in particular. Luvin describes himself as extrovert, open minded, preoccupied, reckless and loving.
He wants to be a donor because he wants to help other people to have children.",,,White,White,Danish/Danish,Media and communication,volunteer coordinator,163,74,Blue,Blue,Blonde,Blonde,,3,Medium,AB-,,,,no,Not Listed,,,,,fencing and running in particular,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help other people to have children
1583261093-318,Euro,Adeel,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Adeel has blue eyes and blond hair. He is 176cm in height and weighs 65kg.
He works as a executive assitant to ceo. In his free time he enjoys soccer, golf, tennis, badminton, handball, volleyball, basketball, baseball, you name it - any sport. Adeel describes himself as humoristic, sarcastic, sporty, respectful, a thinker, adventurous, caring, gentleman, competitive.
He wants to be a donor because he wants to help.",,,White,White,Danish/Danish,Business and financial,executive assitant to ceo,143,69,Blue,Blue,Blonde,Blonde,,3,Medium,O+,,,,no,Not Listed,,,,,"soccer, golf, tennis, badminton, handball, volleyball, basketball, baseball, you name it - any sport",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help
1583261093-146,Euro,Chini,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Chini has brown eyes and black hair. He is 175cm in height and weighs 74kg.
He works as a it support. In his free time he enjoys e-Sports, football, table tennis. Chini describes himself as easy-going, competitive mindset, open-minded.
He wants to be a donor because he wants to help others to have children.",,,Mixed,Other,"Philippine, Spanish/German",Computer and information technology,it support,163,69,Brown,Brown,Black,Black,,3,Medium,O+,,,,no,Not Listed,,,,,"e-Sports, football, table tennis",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help others to have children
1583261093-468,Euro,Humphrey,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Humphrey has green eyes and dark brown hair. He is 193cm in height and weighs 94kg.
In his free time he enjoys drawing, running, coding and reading. Humphrey describes himself as calm and somewhat introverted.
He wants to be a donor because he wants to help others.",,,Mixed,Other,British/Irish/Indian/Spanish/Italian,"Life, Physical and Social Science",,207,76,Green,Green,Brown,"Brown, Dark",,3,Medium,O+,,,,no,Not Listed,,,,,"drawing, running, coding and reading",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help others
1583261093-434,Euro,Julias,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Julias has brown eyes and dark brown hair. He is 174cm in height and weighs 80kg.
In his free time he enjoys football and volleyball. Julias describes himself as curious and honest.
He wants to be a donor because he wants to do something meaningful for people that are in need.",,,White,White,Romanian/Romanian,Natural Science,,176,69,Brown,Brown,Brown,"Brown, Dark",,3,Medium,O+,,,,no,Not Listed,,,,,football and volleyball,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to do something meaningful for people that are in need
1583261093-118,Euro,Columbus,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Columbus has brown eyes and black hair. He is 182cm in height and weighs 97kg.
He works as a software engineer. In his free time he enjoys cricket. Columbus describes himself as loyal, professional, respectful, honest.
He wants to be a donor because he is aware there are many people who can't have a child due to various reasons. He would therefore like to donate his sperm to help these people.",,,Asian,Asian,Indian/Indian,Architecture and engineering,software engineer,214,72,Brown,Brown,Black,Black,,6,Dark,A+,,,,no,Not Listed,,,,,cricket,right,,,,,,,,,,,,,,,,He wants to be a donor because he is aware there are many people who can't have a child due to various reasons
1583261093-370,Euro,Frilo,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Frilo has blue eyes and light brown hair. He is 177cm in height and weighs 56kg.
He works as a sales assistant. In his free time he enjoys basketball, swimming. Frilo describes himself as Outgoing, positive, mellow, talkative, enthusiastic respectful, kind.
He wants to be a donor because he wants to help people getting children.",,,White,White,Danish/French/Danish/German,"Life, Physical and Social Science",sales assistant,123,70,Blue,Blue,Brown,"Brown, Light",,2,Fair,B+,,,,no,Not Listed,,,,,"basketball, swimming",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people getting children
1583261093-267,Euro,Gani,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Gani has brown eyes and dark brown hair. He is 177cm in height and weighs 77kg.
He works as a researcher. In his free time he enjoys gymnastics, beach-volley with friends, tennis. Gani describes himself as thoughtful, direct.
He wants to be a donor because one of his wife's good girl friends recently used donor sperm, which made him want to help others in a similar situation. He would have liked to of had more children, but his life hasn't allowed it, so being a donor allows him pass on his genes.",,,White,White,French/French,Maths,researcher,170,70,Brown,Brown,Brown,"Brown, Dark",,3,Medium,A-,,,,no,Not Listed,,,,,"gymnastics, beach-volley with friends, tennis",right,,,,,,,,,,,,,,,,"He wants to be a donor because one of his wife's good girl friends recently used donor sperm, which made him want to help others in a similar situation"
1583261093-130,Euro,Heino,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Heino has green/brown eyes and light brown hair. He is 178cm in height and weighs 90kg.
He works as a lawyer. In his free time he enjoys football, badminton, gym classes. Heino describes himself as helpful and demanding.
He wants to be a donor because he wants to help others to have children. He has two friends who he has seen first hand struggle to have children.",,,White,White,Danish/Danish,Legal,lawyer,198,70,Green,Green/Brown,Brown,"Brown, Light",,2,Fair,A+,,,,no,Not Listed,,,,,"football, badminton, gym classes",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help others to have children
1583261093-19,Euro,Arman,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Arman has blue eyes and red brown hair. He is 200cm in height and weighs 108kg.
He works as a songwriter. In his free time he enjoys soccer, boxing, IT and writing music. Arman describes himself as social, strong, sweet, happy and outgoing.
He wants to be a donor because he wants to help where he can.",,,White,White,Danish/Danish,Computer and information technology,songwriter,238,79,Blue,Blue,Red,Auburn,,2,Fair,O+,,,,no,Not Listed,,,,,"soccer, boxing, IT and writing music",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help where he can
1583261093-408,Euro,Kennet,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Kennet has brown eyes and brown hair. He is 202cm in height and weighs 108kg.
In his free time he enjoys football, basketball, volleyball, handball and has also done some kickboxing. Kennet describes himself as maybe a bit introverted, but out-going and funny.
He wants to be a donor because he believes that we are made to have kids and understands that having kids is the biggest wish to people and he likes the idea that he can help.",,,White,White,Danish/Danish,Healthcare,,238,80,Brown,Brown,Brown,Brown,,3,Medium,AB+,,,,no,Not Listed,,,,,"football, basketball, volleyball, handball and has also done some kickboxing",right,,,,,,,,,,,,,,,,He wants to be a donor because he believes that we are made to have kids and understands that having kids is the biggest wish to people and he likes the idea that he can help
1583261093-454,Euro,Lenius,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Lenius has brown eyes and dark brown hair. He is 184cm in height and weighs 97kg.
He works as a translator. In his free time he enjoys playing the drums, reading, video games, and gym. Lenius describes himself as kind, respectful, empathic and witty.
He wants to be a donor because he wants to help other people achieve their dream of becoming parents.",,,White,White,Italian/Italian,Media and communication,translator,214,72,Brown,Brown,Brown,"Brown, Dark",,3,Medium,A+,,,,no,Not Listed,,,,,"playing the drums, reading, video games, and gym",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help other people achieve their dream of becoming parents
1583261093-436,Euro,Yves,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Yves has brown eyes and dark brown hair. He is 180 cm in height and weighs 73 kg.
In his free time he enjoys swimming, and dancing salsa and bachata. Yves describes himself as curious, intelligent, ambitious, and disciplined.
He wants to be a donor because he wants to help those who cannot have children.",,,White,White,Turkish/Turkish,Architecture and engineering,,161,71,Brown,Brown,Brown,"Brown, Dark",,3,Medium,AB+,,,,no,Not Listed,,,,,"swimming, and dancing salsa and bachata",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help those who cannot have children
1583261093-421,Euro,Edgar,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Edgar has green/brown eyes and brown hair. He is 185cm in height and weighs 95kg.
He works as a management consultant. In his free time he enjoys Power-lifting, Olympic lifting and soccer. Edgar describes himself as extroverted, open, a risk taker and trusting.
He wants to be a donor because he wants to make difference to people who want to have children.",,,White,White,Danish/Danish,Business and financial,management consultant,209,73,Green,Green/Brown,Brown,Brown,,2,Fair,O+,,,,no,Not Listed,,,,,"Power-lifting, Olympic lifting and soccer",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to make difference to people who want to have children
1583261093-452,Euro,Sirius,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Sirius has blue eyes and blond hair. He is 177cm in height and weighs 65kg.
In his free time he enjoys participating in most sports, and loves everything including a ball or a board. He particularly enjoy tennis and badminton. Sirius describes himself as joyous, kind and compassionate.
He wants to be a donor because he believes that becoming a parent is beautiful, and thinks everyone that wants to, deserves an opportunity to become one.",,,White,White,Danish/Swedish,"Life, Physical and Social Science",,143,70,Blue,Blue,Blonde,Blonde,,2,Fair,A-,,,,no,Not Listed,,,,,"participating in most sports, and loves everything including a ball or a board. He particularly enjoy tennis and badminton",right,,,,,,,,,,,,,,,,"He wants to be a donor because he believes that becoming a parent is beautiful, and thinks everyone that wants to, deserves an opportunity to become one"
1583261093-464,Euro,Jim,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Jim has brown eyes and dark brown hair. He is 170 cm in height and weighs 71 kg.
He works as a bar host. In his free time he enjoys fitness, nutrition, chess, travelling. Jim describes himself as open minded, kind and calm.
He wants to be a donor because he wants to help other people to have children and to contribute to society.",,,White,White,Slovak/Slovak,Architecture and engineering,bar host,157,67,Brown,Brown,Brown,"Brown, Dark",,2,Fair,A+,,,,no,Not Listed,,,,,"fitness, nutrition, chess, travelling",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help other people to have children and to contribute to society
1583261093-132,Euro,Buris,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Buris has brown eyes and brown hair. He is 171cm in height and weighs 66kg.
He works as a full time student. In his free time he enjoys football and ultimate. Buris describes himself as loyal, reflective, curious and disciplined.
He wants to be a donor because he believes in human responsibility. Those who are healthy and strong should contribute.",,,White,White,Danish/Danish,Maths,full time student,146,67,Brown,Brown,Brown,Brown,,3,Medium,O+,,,,no,Not Listed,,,,,football and ultimate,right,,,,,,,,,,,,,,,,He wants to be a donor because he believes in human responsibility
1583261093-304,Euro,Inor,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Inor has blue eyes and brown hair. He is 184cm in height and weighs 77kg.
He works as a firefighter. In his free time he enjoys all kinds of sports. Inor describes himself as football and basketball.
He wants to be a donor because he thinks that it is great with our modern technology that we can help childless couples.",,,White,White,Danish/Danish,Healthcare,firefighter,170,72,Blue,Blue,Brown,Brown,,2,Fair,A+,,,,no,Not Listed,,,,,all kinds of sports,right,,,,,,,,,,,,,,,,He wants to be a donor because he thinks that it is great with our modern technology that we can help childless couples
1583261093-418,Euro,Taner,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Taner has blue/green eyes and blond hair. He is 180cm in height and weighs 77kg.
In his free time he enjoys water polo and other watersports. Taner describes himself as introvert, melancholic, quiet but also extrovert, joyful and loud.
He wants to be a donor because he wants to help people who are not able to have children on their own.",,,White,White,Danish/Danish,Languages,,170,71,Blue,Blue/Green,Blonde,Blonde,,2,Fair,A+,,,,no,Not Listed,,,,,water polo and other watersports,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people who are not able to have children on their own
1583261093-346,Euro,Hold,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Hold has blue/green eyes and light brown hair. He is 183cm in height and weighs 77kg.
He works as a worker in a retail store. In his free time he enjoys Martial arts. Hold describes himself as funny, helpful and hard working.
He wants to be a donor because he wants to help others..",,,White,White,Danish/Danish,High School student,worker in a retail store,170,72,Blue,Blue/Green,Brown,"Brown, Light",,2,Fair,A+,,,,no,Not Listed,,,,,Martial arts,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help others
1583261093-314,Euro,Rami,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Rami has brown eyes and dark brown hair. He is 181cm in height and weighs 75kg.
In his free time he enjoys playing football and basketball. Rami describes himself as happy, outgoing and funny.
He wants to be a donor because he wants to help people who cannot have children.",,,White,White,Colombian/Colombian,Business and financial,,165,71,Brown,Brown,Brown,"Brown, Dark",,3,Medium,O+,,,,no,Not Listed,,,,,playing football and basketball,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to help people who cannot have children
1583261093-1,Euro,Jorst,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Jorst has blue/green eyes and brown hair. He is 172cm in height and weighs 71kg.
He works as a nurse. In his free time he enjoys Tennis, volleyball, ultimate, free-diving, climbing.. Jorst describes himself as Cheerful, generous, animated, strong-willed, well tempered..
He wants to be a donor because He wants to help people with fertility challenges..",,,White,White,Danish/Danish,"Life, Physical and Social Science",nurse,157,68,Blue,Blue/Green,Brown,Brown,,3,Medium,A-,,,,no,Not Listed,,,,,"Tennis, volleyball, ultimate, free-diving, climbing",right,,,,,,,,,,,,,,,,He wants to help people with fertility challenges.
1583261093-320,Euro,Haj,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Haj has blue eyes and dark brown hair. He is 182cm in height and weighs 85kg.
He works as a customer consultant. In his free time he enjoys spending time with his friends and family, working out, football, tennis, listening to classical music, reading and diving. Haj describes himself as good at interacting with other people, a quick learner and caring.
He wants to be a donor because a close friend was unable to have kids due to poor sperm quality. They got help from a service similar to this one, and they couldn't be happier.",,,White,White,Danish/Danish,Business and financial,customer consultant,187,72,Blue,Blue,Brown,"Brown, Dark",,3,Medium,B-,,,,no,Not Listed,,,,,"spending time with his friends and family, working out, football, tennis, listening to classical music, reading and diving",right,,,,,,,,,,,,,,,,He wants to be a donor because a close friend was unable to have kids due to poor sperm quality
1583261093-368,Euro,Micas,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Micas has blue/green eyes and strawberry blonde hair. He is 186cm in height and weighs 82kg.
He works as a purchasing and production planner. In his free time he enjoys badminton, running, fitness, reading books and history. Micas describes himself as friendly, fair and empathic.
He wants to be a donor because he likes the idea of helping people.",,,White,White,Danish/Danish,Transportation and shipping,purchasing and production planner,181,73,Blue,Blue/Green,Blonde,"Blonde, Strawberry",,2,Fair,A+,,,,no,Not Listed,,,,,"badminton, running, fitness, reading books and history",right,,,,,,,,,,,,,,,,He wants to be a donor because he likes the idea of helping people
1583261093-289,Euro,Marvin,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Marvin has blue/green eyes and light brown hair. He is 179cm in height and weighs 79kg.
He works as a sales. In his free time he enjoys football and badminton. Marvin describes himself as calm, positive and tolerant.
He wants to be a donor because he wants to enable others to experience the joy of having children.",,,White,White,Danish/Danish,Sales,sales,174,70,Blue,Blue/Green,Brown,"Brown, Light",,2,Fair,O+,,,,no,Not Listed,,,,,football and badminton,right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to enable others to experience the joy of having children
1583261093-298,Euro,Sigge,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Sigge has blue eyes and strawberry blonde hair. He is 188cm in height and weighs 89kg.
He works as a homeowner association. In his free time he enjoys exercising, cooking and reading. Sigge describes himself as strong, resilient and decisive.
He wants to be a donor because he is happy to help people and he will welcome children who later in life would prefer to contact him.",,,White,White,Danish/Danish,Business and financial,homeowner association,196,74,Blue,Blue,Blonde,"Blonde, Strawberry",,2,Fair,O+,,,,no,Not Listed,,,,,"exercising, cooking and reading",ambidextrous,,,,,,,,,,,,,,,,He wants to be a donor because he is happy to help people and he will welcome children who later in life would prefer to contact him
1583261093-299,Euro,Kean,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Kean has blue/green eyes and dark brown hair. He is 170cm in height and weighs 58kg.
In his free time he enjoys being social, football, running, politics and journalism. Kean describes himself as a social person but he also good at being happy in his own company, and always in a good mood.
He wants to be a donor because to help other people with their biggest dream of having a family of their own.",,,White,White,Danish/Danish,Legal,,128,67,Blue,Blue/Green,Brown,"Brown, Dark",,3,Medium,A+,,,,no,Not Listed,,,,,"being social, football, running, politics and journalism",right,,,,,,,,,,,,,,,,He wants to be a donor because to help other people with their biggest dream of having a family of their own
1583261093-138,Euro,Piet,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Piet has blue eyes and light brown hair. He is 184cm in height and weighs 70kg.
In his free time he enjoys football (soccer), mountainbiking, squash and floorball. Piet describes himself as outgoing, clever, funny, argumentative and enthusiastic.
He wants to be a donor because he finds that it is amazing being able to help couples fullfill their dreams and the money is something important for a poor student.",,,White,White,Danish/Danish/Faroese,High School student,,154,72,Blue,Blue,Brown,"Brown, Light",,2,Fair,O+,,,,no,Not Listed,,,,,"football (soccer), mountainbiking, squash and floorball",right,,,,,,,,,,,,,,,,He wants to be a donor because he finds that it is amazing being able to help couples fullfill their dreams and the money is something important for a poor student
1583261093-209,Euro,Melvin,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Melvin has blue eyes and blond hair. He is 178cm in height and weighs 76kg.
In his free time he enjoys running, hunting and sailing. Melvin describes himself as helpful, calm and friendly.
He wants to be a donor because he wants to make a difference and help other people.",,,White,White,Danish/Danish,Architecture and engineering,,168,70,Blue,Blue,Blonde,Blonde,,2,Fair,A+,,,,no,Not Listed,,,,,"running, hunting and sailing",right,,,,,,,,,,,,,,,,He wants to be a donor because he wants to make a difference and help other people
1583261093-328,Euro,Momme,https://www.europeanspermbank.com/en-int/sperm-donor-search,"Momme has blue eyes and light brown hair. He is 184cm in height and weighs 99kg.
He works as a high school student. In his free time he enjoys backpacking, fishing, squash, reading and socializing with friends. Momme describes himself as loyal, firm, funny and hard working.
He wants to be a donor because he is not currently planning on having children of his own, but he hopes he can make someone else happy by being a sperm donor.",,,White,White,danish/danish,High School student,high school student,218,72,Blue,Blue,Brown,"Brown, Light",,2,Fair,O+,,,,no,Not Listed,,,,,"backpacking, fishing, squash, reading and socializing with friends",right,,,,,,,,,,,,,,,,"He wants to be a donor because he is not currently planning on having children of his own, but he hopes he can make someone else happy by being a sperm donor"
